genres	homepage	keywords	original_language	original_title	overview	popularity	release_date	revenue	runtime	tagline	title	vote_average	vote_count
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]"	http://www.transformersmovie.com/		en	Transformers: Revenge of the Fallen	Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.	21.939663	2009-06-19	836297228	150	Revenge is coming.	Transformers: Revenge of the Fallen	6.0	3138
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]"	http://www.transformersmovie.com		en	Transformers: Age of Extinction	"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs."	116.840296	2014-06-25	1091405097	165	This is not war. It's extinction.	Transformers: Age of Extinction	5.8	3095
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]"	http://www.ozthegreatandpowerfulmovie.com		en	Oz: The Great and Powerful	Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.	46.985445	2013-03-07	491868548	130	In Oz, nothing is what it seems	Oz: The Great and Powerful	5.7	3530
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]"	http://www.theamazingspiderman.com		en	The Amazing Spider-Man 2	For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.	89.270217	2014-04-16	705717432	142	No more secrets.	The Amazing Spider-Man 2	6.5	4179
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]"	http://disney.go.com/tron/		en	TRON: Legacy	Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.	73.79505	2010-12-10	400062763	125	The Game Has Changed.	TRON: Legacy	6.3	2841
"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]"	http://www.disney.go.com/cars/		en	Cars 2	Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.	49.98659	2011-06-11	559852396	106	Ka-ciao!	Cars 2	5.8	2033
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]"	http://greenlanternmovie.warnerbros.com/		en	Green Lantern	For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.	51.872839	2011-06-16	219851172	114	In our darkest hour, there will be light.	Green Lantern	5.1	2487
"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]"	http://disney.go.com/toystory/		en	Toy Story 3	Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.	59.995418	2010-06-16	1066969703	103	No toy gets left behind.	Toy Story 3	7.6	4597
"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]"	https://www.warnerbros.com/terminator-salvation		en	Terminator Salvation	All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.	71.862892	2009-05-20	371353001	115	The End Begins.	Terminator Salvation	5.9	2463
"[{""id"": 28, ""name"": ""Action""}]"	http://www.furious7.com/		en	Furious 7	Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.	102.322217	2015-04-01	1506249360	137	Vengeance Hits Home	Furious 7	7.3	4176
